name,pos,weight
[FeII]6F,4432.445443,1.0
[FeII]7F,4452.11,1.0
[FeII]6F,4457.94,1.0
[FeII]7F,4474.904244,1.0
[FeII]6F,4488.75059,1.0
[FeII]6F,4492.629566,1.0
[FeII]6F,4528.380127,1.0
[FeII]4F,4639.67071,1.0
[FeII]4F,4664.444155,1.0
[FeII]4F,4728.07,1.0
[FeII]20F,4774.724946,1.0
[FeII]4F,4798.27,1.0
[FeII]20F,4814.534392,1.0
[FeII]20F,4874.48,1.0
[FeII]4F,4889.624468,1.0
[FeII],4898.612082,1.0
[FeII]20F,4905.340296,1.0
[FeII]20F,4947.37,1.0
[FeII]20F,4950.74,1.0
[FeII]20F,4973.392221,1.0
[FeII]20F,5005.513684,1.0
[FeII]20F,5020.229772,1.0
[FeII]20F,5043.523578,1.0
[FeII],5060.079175,1.0
[FeII]19F,5072.39,1.0
[FeII]18F,5107.936443,1.0
[FeII]19F,5111.63,1.0
[FeII]18F,5158.003116,1.0
[FeII]19F,5158.78,1.0
[FeII]18F,5181.94674,1.0
[FeII]19F,5184.795981,1.0
[FeII]19F,5220.056588,1.0
[FeII]19F,5261.615514,1.0
[FeII]18F,5268.87,1.0
[FeII]18F,5273.352386,1.0
[FeII]19F,5296.826128,1.0
[FeII]19F,5333.646309,1.0
[FeII]18F,5347.65,1.0
[FeII]19F,5376.45489,1.0
[FeII]17F,5412.65,1.0
[FeII]18F,5433.13,1.0
[FeII]34F,5477.237988,1.0
[FeII]17F,5495.82,1.0
[FeII]17F,5527.34,1.0
[FeII]34F,5527.61,1.0
[FeII]18F,5556.29,1.0
[FeII]34F,5746.97,1.0
